età,maschi_italiani_2023,maschi_stranieri_2023,femmine_italiani_2023,femmine_stranieri_2023,survival_femmine,survival_maschi,fertility_italiani,fertility_stranieri,outmigration_2023,outmigration_2024,outmigration_2025,outmigration_2026,outmigration_2027,outmigration_2028,outmigration_2029,outmigration_2030,outmigration_2031,outmigration_2032,outmigration_2033,outmigration_2034,outmigration_2035,outmigration_2036,outmigration_2037,outmigration_2038,outmigration_2039,outmigration_2040,outmigration_2041,outmigration_2042,outmigration_2043,outmigration_2044,outmigration_2045,outmigration_2046,outmigration_2047,outmigration_2048,outmigration_2049,outmigration_2050,outmigration_2051,outmigration_2052,outmigration_2053,outmigration_2054,outmigration_2055,outmigration_2056,outmigration_2057,outmigration_2058,outmigration_2059,outmigration_2060,outmigration_2061,outmigration_2062,outmigration_2063,outmigration_2064,outmigration_2065,outmigration_2066,outmigration_2067,outmigration_2068,outmigration_2069,outmigration_2070,outmigration_2071,outmigration_2072,outmigration_2073,outmigration_2074,outmigration_2075,immigration_2023,immigration_2024,immigration_2025,immigration_2026,immigration_2027,immigration_2028,immigration_2029,immigration_2030,immigration_2031,immigration_2032,immigration_2033,immigration_2034,immigration_2035,immigration_2036,immigration_2037,immigration_2038,immigration_2039,immigration_2040,immigration_2041,immigration_2042,immigration_2043,immigration_2044,immigration_2045,immigration_2046,immigration_2047,immigration_2048,immigration_2049,immigration_2050,immigration_2051,immigration_2052,immigration_2053,immigration_2054,immigration_2055,immigration_2056,immigration_2057,immigration_2058,immigration_2059,immigration_2060,immigration_2061,immigration_2062,immigration_2063,immigration_2064,immigration_2065,immigration_2066,immigration_2067,immigration_2068,immigration_2069,immigration_2070,immigration_2071,immigration_2072,immigration_2073,immigration_2074,immigration_2075
0,176095,26991,165389,25445,0.9997701,0.99974042,0.0,0.0,141764,141630,141540,141425,141345,141298,141293,141209,141068,141071,140921,140641,140463,140316,140174,139812,139503,139274,139028,138875,138430,137790,137224,136807,136493,136146,135834,135552,135276,135122,134876,134772,134522,134378,134346,134234,134203,134299,134372,134583,134693,134929,134891,135424,135900,136298,136604,136902,137448,137596,138051,138653,139292,415556,403455,391445,379551,368829,358287,347844,339398,332343,326027,320819,317336,313461,310116,306988,306057,305386,304757,304233,303592,303278,302894,302621,302373,302277,302016,301722,301477,301086,300904,300995,300813,300952,300742,300980,301203,301603,301576,301495,301029,300861,300607,300716,301093,301152,301254,301245,302067,301470,301719,301785,302273,302390
1,180203,27015,171171,25863,0.99984282,0.99982011,0.0,0.0,141764,141630,141540,141425,141345,141298,141293,141209,141068,141071,140921,140641,140463,140316,140174,139812,139503,139274,139028,138875,138430,137790,137224,136807,136493,136146,135834,135552,135276,135122,134876,134772,134522,134378,134346,134234,134203,134299,134372,134583,134693,134929,134891,135424,135900,136298,136604,136902,137448,137596,138051,138653,139292,415556,403455,391445,379551,368829,358287,347844,339398,332343,326027,320819,317336,313461,310116,306988,306057,305386,304757,304233,303592,303278,302894,302621,302373,302277,302016,301722,301477,301086,300904,300995,300813,300952,300742,300980,301203,301603,301576,301495,301029,300861,300607,300716,301093,301152,301254,301245,302067,301470,301719,301785,302273,302390
2,182089,29607,171803,27748,0.9998942,0.99986672,0.0,0.0,141764,141630,141540,141425,141345,141298,141293,141209,141068,141071,140921,140641,140463,140316,140174,139812,139503,139274,139028,138875,138430,137790,137224,136807,136493,136146,135834,135552,135276,135122,134876,134772,134522,134378,134346,134234,134203,134299,134372,134583,134693,134929,134891,135424,135900,136298,136604,136902,137448,137596,138051,138653,139292,415556,403455,391445,379551,368829,358287,347844,339398,332343,326027,320819,317336,313461,310116,306988,306057,305386,304757,304233,303592,303278,302894,302621,302373,302277,302016,301722,301477,301086,300904,300995,300813,300952,300742,300980,301203,301603,301576,301495,301029,300861,300607,300716,301093,301152,301254,301245,302067,301470,301719,301785,302273,302390
3,188547,31172,179356,29376,0.99992192,0.99989551,0.0,0.0,141764,141630,141540,141425,141345,141298,141293,141209,141068,141071,140921,140641,140463,140316,140174,139812,139503,139274,139028,138875,138430,137790,137224,136807,136493,136146,135834,135552,135276,135122,134876,134772,134522,134378,134346,134234,134203,134299,134372,134583,134693,134929,134891,135424,135900,136298,136604,136902,137448,137596,138051,138653,139292,415556,403455,391445,379551,368829,358287,347844,339398,332343,326027,320819,317336,313461,310116,306988,306057,305386,304757,304233,303592,303278,302894,302621,302373,302277,302016,301722,301477,301086,300904,300995,300813,300952,300742,300980,301203,301603,301576,301495,301029,300861,300607,300716,301093,301152,301254,301245,302067,301470,301719,301785,302273,302390
4,198159,31922,187087,30206,0.99993229,0.99990869,0.0,0.0,141764,141630,141540,141425,141345,141298,141293,141209,141068,141071,140921,140641,140463,140316,140174,139812,139503,139274,139028,138875,138430,137790,137224,136807,136493,136146,135834,135552,135276,135122,134876,134772,134522,134378,134346,134234,134203,134299,134372,134583,134693,134929,134891,135424,135900,136298,136604,136902,137448,137596,138051,138653,139292,415556,403455,391445,379551,368829,358287,347844,339398,332343,326027,320819,317336,313461,310116,306988,306057,305386,304757,304233,303592,303278,302894,302621,302373,302277,302016,301722,301477,301086,300904,300995,300813,300952,300742,300980,301203,301603,301576,301495,301029,300861,300607,300716,301093,301152,301254,301245,302067,301470,301719,301785,302273,302390
5,206884,33504,195350,31402,0.99993169,0.99991119,0.0,0.0,141764,141630,141540,141425,141345,141298,141293,141209,141068,141071,140921,140641,140463,140316,140174,139812,139503,139274,139028,138875,138430,137790,137224,136807,136493,136146,135834,135552,135276,135122,134876,134772,134522,134378,134346,134234,134203,134299,134372,134583,134693,134929,134891,135424,135900,136298,136604,136902,137448,137596,138051,138653,139292,415556,403455,391445,379551,368829,358287,347844,339398,332343,326027,320819,317336,313461,310116,306988,306057,305386,304757,304233,303592,303278,302894,302621,302373,302277,302016,301722,301477,301086,300904,300995,300813,300952,300742,300980,301203,301603,301576,301495,301029,300861,300607,300716,301093,301152,301254,301245,302067,301470,301719,301785,302273,302390
6,213802,33203,203512,30800,0.99993122,0.9999131,0.0,0.0,141764,141630,141540,141425,141345,141298,141293,141209,141068,141071,140921,140641,140463,140316,140174,139812,139503,139274,139028,138875,138430,137790,137224,136807,136493,136146,135834,135552,135276,135122,134876,134772,134522,134378,134346,134234,134203,134299,134372,134583,134693,134929,134891,135424,135900,136298,136604,136902,137448,137596,138051,138653,139292,415556,403455,391445,379551,368829,358287,347844,339398,332343,326027,320819,317336,313461,310116,306988,306057,305386,304757,304233,303592,303278,302894,302621,302373,302277,302016,301722,301477,301086,300904,300995,300813,300952,300742,300980,301203,301603,301576,301495,301029,300861,300607,300716,301093,301152,301254,301245,302067,301470,301719,301785,302273,302390
7,221128,32449,209079,30495,0.99993342,0.99991667,0.0,0.0,141764,141630,141540,141425,141345,141298,141293,141209,141068,141071,140921,140641,140463,140316,140174,139812,139503,139274,139028,138875,138430,137790,137224,136807,136493,136146,135834,135552,135276,135122,134876,134772,134522,134378,134346,134234,134203,134299,134372,134583,134693,134929,134891,135424,135900,136298,136604,136902,137448,137596,138051,138653,139292,415556,403455,391445,379551,368829,358287,347844,339398,332343,326027,320819,317336,313461,310116,306988,306057,305386,304757,304233,303592,303278,302894,302621,302373,302277,302016,301722,301477,301086,300904,300995,300813,300952,300742,300980,301203,301603,301576,301495,301029,300861,300607,300716,301093,301152,301254,301245,302067,301470,301719,301785,302273,302390
8,228778,32386,216060,30506,0.99993348,0.9999218,0.0,0.0,141764,141630,141540,141425,141345,141298,141293,141209,141068,141071,140921,140641,140463,140316,140174,139812,139503,139274,139028,138875,138430,137790,137224,136807,136493,136146,135834,135552,135276,135122,134876,134772,134522,134378,134346,134234,134203,134299,134372,134583,134693,134929,134891,135424,135900,136298,136604,136902,137448,137596,138051,138653,139292,415556,403455,391445,379551,368829,358287,347844,339398,332343,326027,320819,317336,313461,310116,306988,306057,305386,304757,304233,303592,303278,302894,302621,302373,302277,302016,301722,301477,301086,300904,300995,300813,300952,300742,300980,301203,301603,301576,301495,301029,300861,300607,300716,301093,301152,301254,301245,302067,301470,301719,301785,302273,302390
9,233585,31340,220800,29384,0.99993122,0.999928,0.0,0.0,141764,141630,141540,141425,141345,141298,141293,141209,141068,141071,140921,140641,140463,140316,140174,139812,139503,139274,139028,138875,138430,137790,137224,136807,136493,136146,135834,135552,135276,135122,134876,134772,134522,134378,134346,134234,134203,134299,134372,134583,134693,134929,134891,135424,135900,136298,136604,136902,137448,137596,138051,138653,139292,415556,403455,391445,379551,368829,358287,347844,339398,332343,326027,320819,317336,313461,310116,306988,306057,305386,304757,304233,303592,303278,302894,302621,302373,302277,302016,301722,301477,301086,300904,300995,300813,300952,300742,300980,301203,301603,301576,301495,301029,300861,300607,300716,301093,301152,301254,301245,302067,301470,301719,301785,302273,302390
10,244731,31654,231763,29220,0.99992692,0.99992973,0.0,0.0,141764,141630,141540,141425,141345,141298,141293,141209,141068,141071,140921,140641,140463,140316,140174,139812,139503,139274,139028,138875,138430,137790,137224,136807,136493,136146,135834,135552,135276,135122,134876,134772,134522,134378,134346,134234,134203,134299,134372,134583,134693,134929,134891,135424,135900,136298,136604,136902,137448,137596,138051,138653,139292,415556,403455,391445,379551,368829,358287,347844,339398,332343,326027,320819,317336,313461,310116,306988,306057,305386,304757,304233,303592,303278,302894,302621,302373,302277,302016,301722,301477,301086,300904,300995,300813,300952,300742,300980,301203,301603,301576,301495,301029,300861,300607,300716,301093,301152,301254,301245,302067,301470,301719,301785,302273,302390
11,251420,29700,237820,27279,0.99992132,0.99992472,0.0,0.0,141764,141630,141540,141425,141345,141298,141293,141209,141068,141071,140921,140641,140463,140316,140174,139812,139503,139274,139028,138875,138430,137790,137224,136807,136493,136146,135834,135552,135276,135122,134876,134772,134522,134378,134346,134234,134203,134299,134372,134583,134693,134929,134891,135424,135900,136298,136604,136902,137448,137596,138051,138653,139292,415556,403455,391445,379551,368829,358287,347844,339398,332343,326027,320819,317336,313461,310116,306988,306057,305386,304757,304233,303592,303278,302894,302621,302373,302277,302016,301722,301477,301086,300904,300995,300813,300952,300742,300980,301203,301603,301576,301495,301029,300861,300607,300716,301093,301152,301254,301245,302067,301470,301719,301785,302273,302390
12,260572,29142,245480,26762,0.99991328,0.99991041,0.0,0.0,141764,141630,141540,141425,141345,141298,141293,141209,141068,141071,140921,140641,140463,140316,140174,139812,139503,139274,139028,138875,138430,137790,137224,136807,136493,136146,135834,135552,135276,135122,134876,134772,134522,134378,134346,134234,134203,134299,134372,134583,134693,134929,134891,135424,135900,136298,136604,136902,137448,137596,138051,138653,139292,415556,403455,391445,379551,368829,358287,347844,339398,332343,326027,320819,317336,313461,310116,306988,306057,305386,304757,304233,303592,303278,302894,302621,302373,302277,302016,301722,301477,301086,300904,300995,300813,300952,300742,300980,301203,301603,301576,301495,301029,300861,300607,300716,301093,301152,301254,301245,302067,301470,301719,301785,302273,302390
13,265449,28576,250278,26591,0.99990112,0.99988502,0.0,0.0,141764,141630,141540,141425,141345,141298,141293,141209,141068,141071,140921,140641,140463,140316,140174,139812,139503,139274,139028,138875,138430,137790,137224,136807,136493,136146,135834,135552,135276,135122,134876,134772,134522,134378,134346,134234,134203,134299,134372,134583,134693,134929,134891,135424,135900,136298,136604,136902,137448,137596,138051,138653,139292,415556,403455,391445,379551,368829,358287,347844,339398,332343,326027,320819,317336,313461,310116,306988,306057,305386,304757,304233,303592,303278,302894,302621,302373,302277,302016,301722,301477,301086,300904,300995,300813,300952,300742,300980,301203,301603,301576,301495,301029,300861,300607,300716,301093,301152,301254,301245,302067,301470,301719,301785,302273,302390
14,269165,28020,254912,25874,0.99989498,0.99985051,0.029999999,0.039999999,141764,141630,141540,141425,141345,141298,141293,141209,141068,141071,140921,140641,140463,140316,140174,139812,139503,139274,139028,138875,138430,137790,137224,136807,136493,136146,135834,135552,135276,135122,134876,134772,134522,134378,134346,134234,134203,134299,134372,134583,134693,134929,134891,135424,135900,136298,136604,136902,137448,137596,138051,138653,139292,415556,403455,391445,379551,368829,358287,347844,339398,332343,326027,320819,317336,313461,310116,306988,306057,305386,304757,304233,303592,303278,302894,302621,302373,302277,302016,301722,301477,301086,300904,300995,300813,300952,300742,300980,301203,301603,301576,301495,301029,300861,300607,300716,301093,301152,301254,301245,302067,301470,301719,301785,302273,302390
15,270238,27156,254819,24667,0.99988639,0.99980491,0.07,0.16,141764,141630,141540,141425,141345,141298,141293,141209,141068,141071,140921,140641,140463,140316,140174,139812,139503,139274,139028,138875,138430,137790,137224,136807,136493,136146,135834,135552,135276,135122,134876,134772,134522,134378,134346,134234,134203,134299,134372,134583,134693,134929,134891,135424,135900,136298,136604,136902,137448,137596,138051,138653,139292,415556,403455,391445,379551,368829,358287,347844,339398,332343,326027,320819,317336,313461,310116,306988,306057,305386,304757,304233,303592,303278,302894,302621,302373,302277,302016,301722,301477,301086,300904,300995,300813,300952,300742,300980,301203,301603,301576,301495,301029,300861,300607,300716,301093,301152,301254,301245,302067,301470,301719,301785,302273,302390
16,271898,26947,255779,23768,0.99986672,0.99975049,0.75999999,1.45,141764,141630,141540,141425,141345,141298,141293,141209,141068,141071,140921,140641,140463,140316,140174,139812,139503,139274,139028,138875,138430,137790,137224,136807,136493,136146,135834,135552,135276,135122,134876,134772,134522,134378,134346,134234,134203,134299,134372,134583,134693,134929,134891,135424,135900,136298,136604,136902,137448,137596,138051,138653,139292,415556,403455,391445,379551,368829,358287,347844,339398,332343,326027,320819,317336,313461,310116,306988,306057,305386,304757,304233,303592,303278,302894,302621,302373,302277,302016,301722,301477,301086,300904,300995,300813,300952,300742,300980,301203,301603,301576,301495,301029,300861,300607,300716,301093,301152,301254,301245,302067,301470,301719,301785,302273,302390
17,271749,26892,255197,22504,0.999856,0.99970329,1.53,5.1900001,141764,141630,141540,141425,141345,141298,141293,141209,141068,141071,140921,140641,140463,140316,140174,139812,139503,139274,139028,138875,138430,137790,137224,136807,136493,136146,135834,135552,135276,135122,134876,134772,134522,134378,134346,134234,134203,134299,134372,134583,134693,134929,134891,135424,135900,136298,136604,136902,137448,137596,138051,138653,139292,415556,403455,391445,379551,368829,358287,347844,339398,332343,326027,320819,317336,313461,310116,306988,306057,305386,304757,304233,303592,303278,302894,302621,302373,302277,302016,301722,301477,301086,300904,300995,300813,300952,300742,300980,301203,301603,301576,301495,301029,300861,300607,300716,301093,301152,301254,301245,302067,301470,301719,301785,302273,302390
18,277969,26224,262794,19352,0.99985331,0.99966562,3.1500001,12.29,141764,141630,141540,141425,141345,141298,141293,141209,141068,141071,140921,140641,140463,140316,140174,139812,139503,139274,139028,138875,138430,137790,137224,136807,136493,136146,135834,135552,135276,135122,134876,134772,134522,134378,134346,134234,134203,134299,134372,134583,134693,134929,134891,135424,135900,136298,136604,136902,137448,137596,138051,138653,139292,415556,403455,391445,379551,368829,358287,347844,339398,332343,326027,320819,317336,313461,310116,306988,306057,305386,304757,304233,303592,303278,302894,302621,302373,302277,302016,301722,301477,301086,300904,300995,300813,300952,300742,300980,301203,301603,301576,301495,301029,300861,300607,300716,301093,301152,301254,301245,302067,301470,301719,301785,302273,302390
19,276311,23741,260624,16479,0.99984813,0.99963301,5.6799998,28.73,141764,141630,141540,141425,141345,141298,141293,141209,141068,141071,140921,140641,140463,140316,140174,139812,139503,139274,139028,138875,138430,137790,137224,136807,136493,136146,135834,135552,135276,135122,134876,134772,134522,134378,134346,134234,134203,134299,134372,134583,134693,134929,134891,135424,135900,136298,136604,136902,137448,137596,138051,138653,139292,415556,403455,391445,379551,368829,358287,347844,339398,332343,326027,320819,317336,313461,310116,306988,306057,305386,304757,304233,303592,303278,302894,302621,302373,302277,302016,301722,301477,301086,300904,300995,300813,300952,300742,300980,301203,301603,301576,301495,301029,300861,300607,300716,301093,301152,301254,301245,302067,301470,301719,301785,302273,302390
20,272601,25515,257778,17888,0.99985111,0.99961138,7.8099999,46.619999,141764,141630,141540,141425,141345,141298,141293,141209,141068,141071,140921,140641,140463,140316,140174,139812,139503,139274,139028,138875,138430,137790,137224,136807,136493,136146,135834,135552,135276,135122,134876,134772,134522,134378,134346,134234,134203,134299,134372,134583,134693,134929,134891,135424,135900,136298,136604,136902,137448,137596,138051,138653,139292,415556,403455,391445,379551,368829,358287,347844,339398,332343,326027,320819,317336,313461,310116,306988,306057,305386,304757,304233,303592,303278,302894,302621,302373,302277,302016,301722,301477,301086,300904,300995,300813,300952,300742,300980,301203,301603,301576,301495,301029,300861,300607,300716,301093,301152,301254,301245,302067,301470,301719,301785,302273,302390
21,274301,28703,258606,20238,0.99985367,0.99959868,10.06,62.630001,141764,141630,141540,141425,141345,141298,141293,141209,141068,141071,140921,140641,140463,140316,140174,139812,139503,139274,139028,138875,138430,137790,137224,136807,136493,136146,135834,135552,135276,135122,134876,134772,134522,134378,134346,134234,134203,134299,134372,134583,134693,134929,134891,135424,135900,136298,136604,136902,137448,137596,138051,138653,139292,415556,403455,391445,379551,368829,358287,347844,339398,332343,326027,320819,317336,313461,310116,306988,306057,305386,304757,304233,303592,303278,302894,302621,302373,302277,302016,301722,301477,301086,300904,300995,300813,300952,300742,300980,301203,301603,301576,301495,301029,300861,300607,300716,301093,301152,301254,301245,302067,301470,301719,301785,302273,302390
22,277511,34336,260925,22949,0.99984759,0.99959022,13.1,80.43,141764,141630,141540,141425,141345,141298,141293,141209,141068,141071,140921,140641,140463,140316,140174,139812,139503,139274,139028,138875,138430,137790,137224,136807,136493,136146,135834,135552,135276,135122,134876,134772,134522,134378,134346,134234,134203,134299,134372,134583,134693,134929,134891,135424,135900,136298,136604,136902,137448,137596,138051,138653,139292,415556,403455,391445,379551,368829,358287,347844,339398,332343,326027,320819,317336,313461,310116,306988,306057,305386,304757,304233,303592,303278,302894,302621,302373,302277,302016,301722,301477,301086,300904,300995,300813,300952,300742,300980,301203,301603,301576,301495,301029,300861,300607,300716,301093,301152,301254,301245,302067,301470,301719,301785,302273,302390
23,270756,39656,255810,24589,0.99984288,0.9995904,16.18,95.279999,141764,141630,141540,141425,141345,141298,141293,141209,141068,141071,140921,140641,140463,140316,140174,139812,139503,139274,139028,138875,138430,137790,137224,136807,136493,136146,135834,135552,135276,135122,134876,134772,134522,134378,134346,134234,134203,134299,134372,134583,134693,134929,134891,135424,135900,136298,136604,136902,137448,137596,138051,138653,139292,415556,403455,391445,379551,368829,358287,347844,339398,332343,326027,320819,317336,313461,310116,306988,306057,305386,304757,304233,303592,303278,302894,302621,302373,302277,302016,301722,301477,301086,300904,300995,300813,300952,300742,300980,301203,301603,301576,301495,301029,300861,300607,300716,301093,301152,301254,301245,302067,301470,301719,301785,302273,302390
24,270322,44382,254282,27196,0.9998365,0.99959058,20.370001,103.04,141764,141630,141540,141425,141345,141298,141293,141209,141068,141071,140921,140641,140463,140316,140174,139812,139503,139274,139028,138875,138430,137790,137224,136807,136493,136146,135834,135552,135276,135122,134876,134772,134522,134378,134346,134234,134203,134299,134372,134583,134693,134929,134891,135424,135900,136298,136604,136902,137448,137596,138051,138653,139292,415556,403455,391445,379551,368829,358287,347844,339398,332343,326027,320819,317336,313461,310116,306988,306057,305386,304757,304233,303592,303278,302894,302621,302373,302277,302016,301722,301477,301086,300904,300995,300813,300952,300742,300980,301203,301603,301576,301495,301029,300861,300607,300716,301093,301152,301254,301245,302067,301470,301719,301785,302273,302390
25,267000,44008,252414,30526,0.99983013,0.99957699,26.65,112.17,141764,141630,141540,141425,141345,141298,141293,141209,141068,141071,140921,140641,140463,140316,140174,139812,139503,139274,139028,138875,138430,137790,137224,136807,136493,136146,135834,135552,135276,135122,134876,134772,134522,134378,134346,134234,134203,134299,134372,134583,134693,134929,134891,135424,135900,136298,136604,136902,137448,137596,138051,138653,139292,415556,403455,391445,379551,368829,358287,347844,339398,332343,326027,320819,317336,313461,310116,306988,306057,305386,304757,304233,303592,303278,302894,302621,302373,302277,302016,301722,301477,301086,300904,300995,300813,300952,300742,300980,301203,301603,301576,301495,301029,300861,300607,300716,301093,301152,301254,301245,302067,301470,301719,301785,302273,302390
26,266094,44817,251898,32948,0.99982572,0.99954712,35.119999,120.2,141764,141630,141540,141425,141345,141298,141293,141209,141068,141071,140921,140641,140463,140316,140174,139812,139503,139274,139028,138875,138430,137790,137224,136807,136493,136146,135834,135552,135276,135122,134876,134772,134522,134378,134346,134234,134203,134299,134372,134583,134693,134929,134891,135424,135900,136298,136604,136902,137448,137596,138051,138653,139292,415556,403455,391445,379551,368829,358287,347844,339398,332343,326027,320819,317336,313461,310116,306988,306057,305386,304757,304233,303592,303278,302894,302621,302373,302277,302016,301722,301477,301086,300904,300995,300813,300952,300742,300980,301203,301603,301576,301495,301029,300861,300607,300716,301093,301152,301254,301245,302067,301470,301719,301785,302273,302390
27,263642,45018,249308,35994,0.999816,0.99951577,44.919998,118.98,141764,141630,141540,141425,141345,141298,141293,141209,141068,141071,140921,140641,140463,140316,140174,139812,139503,139274,139028,138875,138430,137790,137224,136807,136493,136146,135834,135552,135276,135122,134876,134772,134522,134378,134346,134234,134203,134299,134372,134583,134693,134929,134891,135424,135900,136298,136604,136902,137448,137596,138051,138653,139292,415556,403455,391445,379551,368829,358287,347844,339398,332343,326027,320819,317336,313461,310116,306988,306057,305386,304757,304233,303592,303278,302894,302621,302373,302277,302016,301722,301477,301086,300904,300995,300813,300952,300742,300980,301203,301603,301576,301495,301029,300861,300607,300716,301093,301152,301254,301245,302067,301470,301719,301785,302273,302390
28,264665,45298,251899,38656,0.99980199,0.99949437,54.09,115.91,141764,141630,141540,141425,141345,141298,141293,141209,141068,141071,140921,140641,140463,140316,140174,139812,139503,139274,139028,138875,138430,137790,137224,136807,136493,136146,135834,135552,135276,135122,134876,134772,134522,134378,134346,134234,134203,134299,134372,134583,134693,134929,134891,135424,135900,136298,136604,136902,137448,137596,138051,138653,139292,415556,403455,391445,379551,368829,358287,347844,339398,332343,326027,320819,317336,313461,310116,306988,306057,305386,304757,304233,303592,303278,302894,302621,302373,302277,302016,301722,301477,301086,300904,300995,300813,300952,300742,300980,301203,301603,301576,301495,301029,300861,300607,300716,301093,301152,301254,301245,302067,301470,301719,301785,302273,302390
29,269108,44638,257280,40459,0.99978888,0.99948323,67.209999,111.57,141764,141630,141540,141425,141345,141298,141293,141209,141068,141071,140921,140641,140463,140316,140174,139812,139503,139274,139028,138875,138430,137790,137224,136807,136493,136146,135834,135552,135276,135122,134876,134772,134522,134378,134346,134234,134203,134299,134372,134583,134693,134929,134891,135424,135900,136298,136604,136902,137448,137596,138051,138653,139292,415556,403455,391445,379551,368829,358287,347844,339398,332343,326027,320819,317336,313461,310116,306988,306057,305386,304757,304233,303592,303278,302894,302621,302373,302277,302016,301722,301477,301086,300904,300995,300813,300952,300742,300980,301203,301603,301576,301495,301029,300861,300607,300716,301093,301152,301254,301245,302067,301470,301719,301785,302273,302390
30,278754,48034,267425,43774,0.99976963,0.99947381,75.720001,104.16,141764,141630,141540,141425,141345,141298,141293,141209,141068,141071,140921,140641,140463,140316,140174,139812,139503,139274,139028,138875,138430,137790,137224,136807,136493,136146,135834,135552,135276,135122,134876,134772,134522,134378,134346,134234,134203,134299,134372,134583,134693,134929,134891,135424,135900,136298,136604,136902,137448,137596,138051,138653,139292,415556,403455,391445,379551,368829,358287,347844,339398,332343,326027,320819,317336,313461,310116,306988,306057,305386,304757,304233,303592,303278,302894,302621,302373,302277,302016,301722,301477,301086,300904,300995,300813,300952,300742,300980,301203,301603,301576,301495,301029,300861,300607,300716,301093,301152,301254,301245,302067,301470,301719,301785,302273,302390
